                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.44287,                0.37477,                0.98974,                0.97934,                0.89363,                0.94158,                0.85137,                 0.5501,                0.43261,                0.92374,               0.002872,               0.002872,               0.002872
                     74,                0.44429,                0.37193,                0.98639,                0.97679,                 0.8978,                0.94128,                0.84721,                0.56265,                0.43822,                0.92541,               0.002773,               0.002773,               0.002773
                     75,                0.43738,                0.36197,                0.98009,                0.98035,                0.89601,                0.94165,                0.84952,                0.55723,                0.43247,                0.92305,               0.002674,               0.002674,               0.002674
                     76,                0.43168,                  0.357,                0.97557,                0.97732,                0.89922,                 0.9418,                0.84759,                0.55226,                0.43046,                0.92032,               0.002575,               0.002575,               0.002575
                     77,                0.43115,                0.35987,                0.97939,                0.98337,                0.89322,                0.94346,                0.84806,                0.54907,                0.42956,                0.91712,               0.002476,               0.002476,               0.002476
                     78,                0.42496,                0.35225,                0.97528,                0.97756,                 0.8997,                0.94433,                 0.8524,                0.53636,                0.41936,                0.91784,               0.002377,               0.002377,               0.002377
                     79,                0.42486,                0.35085,                0.97338,                0.98437,                0.89121,                0.94568,                 0.8603,                0.51378,                0.41381,                0.90898,               0.002278,               0.002278,               0.002278
                     80,                0.42003,                0.34764,                0.97083,                0.97469,                0.89904,                0.94466,                0.85529,                0.52651,                0.41568,                0.91215,               0.002179,               0.002179,               0.002179
                     81,                0.41826,                0.34314,                0.97012,                0.97718,                0.90212,                0.94527,                0.85889,                0.52794,                0.41349,                 0.9096,                0.00208,                0.00208,                0.00208
                     82,                0.41437,                0.33686,                0.96676,                0.98242,                0.90144,                0.94564,                0.86259,                0.51918,                0.41313,                0.90708,               0.001981,               0.001981,               0.001981
                     83,                0.41366,                0.33603,                0.96698,                0.98799,                0.89713,                0.94545,                0.86146,                0.51995,                0.41119,                0.90656,               0.001882,               0.001882,               0.001882
                     84,                 0.4089,                0.33362,                0.96193,                0.98717,                0.89841,                0.94505,                0.85819,                0.52043,                0.41089,                0.90577,               0.001783,               0.001783,               0.001783
                     85,                0.40593,                0.32946,                0.96357,                0.97657,                0.90638,                0.94599,                0.86223,                 0.5161,                0.40971,                0.90383,               0.001684,               0.001684,               0.001684
                     86,                0.39974,                0.32714,                0.95932,                0.97747,                0.90441,                0.94586,                0.86321,                0.51909,                0.40988,                0.90454,               0.001585,               0.001585,               0.001585
                     87,                0.39725,                0.31868,                0.95441,                0.98486,                0.89947,                0.94611,                0.86271,                0.51279,                0.40656,                0.90311,               0.001486,               0.001486,               0.001486
                     88,                0.39904,                0.31928,                0.95684,                0.98357,                0.90236,                0.94698,                0.86315,                0.51017,                0.40333,                0.90134,               0.001387,               0.001387,               0.001387
                     89,                0.39351,                0.31826,                0.95293,                0.97971,                0.90579,                 0.9474,                0.86498,                 0.5075,                0.40239,                0.90046,               0.001288,               0.001288,               0.001288
                     90,                0.38933,                  0.311,                 0.9488,                0.98387,                0.90304,                0.94699,                0.86887,                0.49922,                0.40498,                0.89916,               0.001189,               0.001189,               0.001189
                     91,                0.38416,                  0.308,                0.94831,                0.98603,                 0.9011,                0.94669,                0.86869,                0.49478,                0.40402,                0.89803,                0.00109,                0.00109,                0.00109
                     92,                0.38591,                0.30656,                 0.9497,                0.97927,                0.90597,                0.94666,                0.87021,                0.49329,                 0.4016,                0.89667,               0.000991,               0.000991,               0.000991
                     93,                0.37725,                0.30346,                0.94628,                0.98142,                 0.9048,                0.94709,                0.87148,                0.49652,                0.40138,                 0.8973,               0.000892,               0.000892,               0.000892
                     94,                0.37711,                0.29702,                0.94153,                0.98367,                0.90481,                0.94752,                0.87043,                0.49933,                0.40107,                0.89692,               0.000793,               0.000793,               0.000793
                     95,                  0.375,                 0.2975,                0.94208,                0.98113,                0.90555,                0.94674,                0.87044,                 0.4923,                0.39938,                0.89386,               0.000694,               0.000694,               0.000694
                     96,                0.37252,                0.29376,                0.94042,                 0.9846,                0.90324,                0.94733,                0.87001,                0.49284,                0.39718,                0.89324,               0.000595,               0.000595,               0.000595
                     97,                0.36945,                0.29171,                0.93857,                0.98519,                0.90218,                0.94787,                0.87257,                0.49007,                0.39636,                0.89205,               0.000496,               0.000496,               0.000496
                     98,                0.36819,                0.29203,                  0.937,                0.98231,                0.90407,                0.94782,                 0.8732,                  0.489,                0.39515,                0.89129,               0.000397,               0.000397,               0.000397
                     99,                0.36756,                0.28757,                0.93607,                0.98523,                0.90178,                0.94796,                0.87472,                0.48685,                0.39543,                0.89051,               0.000298,               0.000298,               0.000298
