                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.47747,                0.32817,                0.92938,                0.92642,                0.76302,                0.84233,                0.67126,                0.79046,                0.74432,                 1.0341,               0.008218,               0.008218,               0.008218
                     56,                0.47092,                0.31738,                 0.9274,                0.88835,                0.81623,                0.88023,                0.70094,                0.78991,                0.68878,                 1.0264,               0.008185,               0.008185,               0.008185
                     57,                0.47005,                0.31691,                0.92288,                0.90075,                 0.8079,                 0.8696,                0.69398,                 0.7638,                0.70694,                 1.0068,               0.008152,               0.008152,               0.008152
                     58,                0.47238,                0.31418,                0.92361,                0.91431,                0.79716,                0.87317,                 0.7118,                0.72734,                0.71165,                 1.0051,               0.008119,               0.008119,               0.008119
                     59,                0.46845,                 0.3046,                0.92102,                0.93351,                0.78342,                0.87871,                0.67547,                0.89072,                0.79313,                  1.072,               0.008086,               0.008086,               0.008086
                     60,                0.46487,                0.30687,                 0.9161,                0.91306,                0.78845,                0.87178,                0.71258,                0.70076,                0.68059,                0.99042,               0.008053,               0.008053,               0.008053
                     61,                0.44737,                0.30893,                0.91065,                0.94254,                0.77662,                0.86933,                0.70969,                0.73925,                0.69612,                 1.0028,                0.00802,                0.00802,                0.00802
                     62,                0.45877,                0.30087,                0.91437,                0.92372,                 0.7827,                0.87268,                 0.6882,                0.81367,                0.71721,                 1.0361,               0.007987,               0.007987,               0.007987
                     63,                0.44514,                0.29839,                0.91044,                0.90372,                0.82308,                0.88272,                0.71947,                0.72775,                0.70652,                0.99465,               0.007954,               0.007954,               0.007954
                     64,                0.44406,                0.29955,                0.90643,                0.92677,                0.78196,                0.87147,                0.69926,                0.74685,                0.65744,                 1.0078,               0.007921,               0.007921,               0.007921
                     65,                0.43699,                0.28515,                0.90321,                0.84327,                0.86088,                0.88812,                 0.7295,                0.74766,                0.66001,                 1.0044,               0.007888,               0.007888,               0.007888
                     66,                0.43302,                0.28812,                0.90395,                 0.9092,                0.78526,                0.87702,                0.72153,                0.69936,                0.69465,                0.98056,               0.007855,               0.007855,               0.007855
                     67,                0.43179,                0.29069,                0.90592,                0.93076,                0.79585,                0.87793,                0.71462,                0.74296,                0.66683,                 1.0096,               0.007822,               0.007822,               0.007822
                     68,                0.42191,                0.27876,                  0.896,                0.88862,                0.84484,                0.88867,                0.70504,                0.79924,                0.66302,                 1.0272,               0.007789,               0.007789,               0.007789
                     69,                0.41848,                 0.2767,                0.89771,                0.90694,                0.81884,                0.88441,                0.70826,                0.82638,                0.68708,                 1.0428,               0.007756,               0.007756,               0.007756
                     70,                0.41629,                0.28343,                0.89506,                 0.9024,                0.81056,                0.88173,                0.73952,                0.67145,                0.63678,                0.96501,               0.007723,               0.007723,               0.007723
