                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.1837,                 1.6257,                 1.5768,                0.89123,                0.64178,                0.73207,                0.45608,                 1.7338,                 1.7171,                 1.7998,               0.004159,               0.004159,               0.004159
                     61,                 1.1697,                 1.6289,                  1.567,                0.88937,                0.64204,                0.72833,                0.46426,                 1.6932,                 1.7319,                 1.7886,                0.00406,                0.00406,                0.00406
                     62,                 1.1629,                 1.6171,                 1.5573,                0.87913,                0.65213,                0.73671,                0.45304,                 1.7761,                 1.7408,                 1.8403,               0.003961,               0.003961,               0.003961
                     63,                 1.1352,                 1.5813,                 1.5407,                0.91124,                0.64376,                0.74656,                0.42624,                 1.8535,                 1.7563,                 1.9341,               0.003862,               0.003862,               0.003862
                     64,                 1.1481,                 1.5696,                  1.551,                0.88653,                 0.6644,                0.74977,                0.46865,                 1.6957,                 1.6872,                 1.7849,               0.003763,               0.003763,               0.003763
                     65,                 1.1417,                 1.5402,                 1.5427,                0.89602,                0.64886,                0.75059,                0.47753,                 1.6804,                 1.6663,                 1.7581,               0.003664,               0.003664,               0.003664
                     66,                 1.1459,                 1.5489,                 1.5435,                0.87443,                0.65162,                0.73831,                0.47083,                 1.6269,                 1.6671,                 1.7133,               0.003565,               0.003565,               0.003565
                     67,                  1.123,                 1.5372,                 1.5339,                0.90776,                0.63816,                0.75052,                0.51852,                 1.4963,                 1.6087,                 1.6163,               0.003466,               0.003466,               0.003466
                     68,                 1.1212,                 1.5241,                 1.5344,                0.85586,                0.65468,                0.74079,                0.48374,                 1.5922,                 1.6385,                 1.6885,               0.003367,               0.003367,               0.003367
                     69,                 1.1122,                  1.515,                 1.5308,                0.85754,                0.65229,                0.74163,                0.49349,                 1.6025,                 1.6972,                 1.6836,               0.003268,               0.003268,               0.003268
                     70,                 1.1058,                 1.4937,                 1.5149,                0.88383,                 0.6801,                0.75724,                0.49407,                 1.6102,                 1.6078,                 1.6987,               0.003169,               0.003169,               0.003169
                     71,                 1.0911,                  1.491,                 1.5065,                0.88721,                0.66416,                0.75145,                0.50729,                 1.5197,                 1.5781,                 1.6274,                0.00307,                0.00307,                0.00307
                     72,                 1.1148,                 1.4906,                 1.5064,                0.90809,                0.65813,                0.75129,                0.51352,                 1.5325,                 1.5908,                 1.6394,               0.002971,               0.002971,               0.002971
                     73,                 1.0692,                 1.4366,                  1.484,                  0.895,                0.67407,                0.75512,                0.49725,                 1.6297,                 1.5825,                 1.7235,               0.002872,               0.002872,               0.002872
                     74,                 1.0797,                 1.4523,                 1.4983,                0.90399,                0.66205,                0.75013,                0.49653,                 1.5716,                 1.5684,                 1.6704,               0.002773,               0.002773,               0.002773
                     75,                 1.0637,                 1.4162,                 1.4811,                0.91737,                0.67839,                0.76213,                 0.5133,                 1.5392,                 1.5224,                 1.6532,               0.002674,               0.002674,               0.002674
